category,feature_set,model,metric,value
harm_hate_threatening,+net,LogisticReg,AUC_ROC,
harm_hate_threatening,+net,LogisticReg,AUC_PR,
harm_violence,text,Ridge,MAE,0.089
harm_violence,text,Ridge,RMSE,0.1119
harm_violence,text,Ridge,R2,-0.0116
harm_violence,text,LogisticReg,AUC_ROC,0.8914
harm_violence,text,LogisticReg,AUC_PR,0.2451
harm_violence,+tax,Ridge,MAE,0.0902
harm_violence,+tax,Ridge,RMSE,0.1132
harm_violence,+tax,Ridge,R2,-0.0346
harm_violence,+tax,LogisticReg,AUC_ROC,0.8781
harm_violence,+tax,LogisticReg,AUC_PR,0.2394
harm_violence,+net,Ridge,MAE,0.0902
harm_violence,+net,Ridge,RMSE,0.1132
harm_violence,+net,Ridge,R2,-0.0356
harm_violence,+net,LogisticReg,AUC_ROC,0.8786
harm_violence,+net,LogisticReg,AUC_PR,0.2381
harm_violence_graphic,text,Ridge,MAE,0.0936
harm_violence_graphic,text,Ridge,RMSE,0.096
harm_violence_graphic,text,Ridge,R2,-6.4154
harm_violence_graphic,text,LogisticReg,AUC_ROC,0.9794
harm_violence_graphic,text,LogisticReg,AUC_PR,0.0278
harm_violence_graphic,+tax,Ridge,MAE,0.0956
harm_violence_graphic,+tax,Ridge,RMSE,0.0991
harm_violence_graphic,+tax,Ridge,R2,-6.9022
harm_violence_graphic,+tax,LogisticReg,AUC_ROC,0.9175
harm_violence_graphic,+tax,LogisticReg,AUC_PR,0.0071
harm_violence_graphic,+net,Ridge,MAE,0.0954
harm_violence_graphic,+net,Ridge,RMSE,0.099
harm_violence_graphic,+net,Ridge,R2,-6.8953
harm_violence_graphic,+net,LogisticReg,AUC_ROC,0.8586
harm_violence_graphic,+net,LogisticReg,AUC_PR,0.0041
harm_self_harm,text,Ridge,MAE,0.0828
harm_self_harm,text,Ridge,RMSE,0.0902
harm_self_harm,text,Ridge,R2,-2.2365
harm_self_harm,text,LogisticReg,AUC_ROC,0.8927
harm_self_harm,text,LogisticReg,AUC_PR,0.3879
harm_self_harm,+tax,Ridge,MAE,0.0805
harm_self_harm,+tax,Ridge,RMSE,0.089
harm_self_harm,+tax,Ridge,R2,-2.1492
harm_self_harm,+tax,LogisticReg,AUC_ROC,0.7461
harm_self_harm,+tax,LogisticReg,AUC_PR,0.1731
harm_self_harm,+net,Ridge,MAE,0.0795
harm_self_harm,+net,Ridge,RMSE,0.0886
harm_self_harm,+net,Ridge,R2,-2.1161
harm_self_harm,+net,LogisticReg,AUC_ROC,0.7554
harm_self_harm,+net,LogisticReg,AUC_PR,0.1734
harm_self_harm_intent,text,Ridge,MAE,0.188
harm_self_harm_intent,text,Ridge,RMSE,0.1889
harm_self_harm_intent,text,Ridge,R2,-24.9332
harm_self_harm_intent,text,LogisticReg,AUC_ROC,0.8616
harm_self_harm_intent,text,LogisticReg,AUC_PR,0.2601
harm_self_harm_intent,+tax,Ridge,MAE,0.1851
harm_self_harm_intent,+tax,Ridge,RMSE,0.1892
harm_self_harm_intent,+tax,Ridge,R2,-25.0355
